FinishTime,ArrivalTime,ServiceTime
946.244,941.032,0
948.77,946.667,0
950.871,946.903,0
951.871,946.903,0
952.871,946.903,0
953.871,946.903,0
956.53,949.675,0
957.784,949.871,0
959.355,955.186,0
960.355,955.186,0
961.993,955.53,0
963.75,958.355,0
965.715,962.038,0
966.715,962.038,0
972.386,969.712,0
974.33,970.507,0
976.939,972.545,0
978.025,973.33,0
979.508,974.438,0
981.749,978.508,0
983.66,980.034,0
985.904,980.665,0
987.158,980.749,0
988.158,980.749,0
989.279,982.66,0
991.07,989.499,0
992.891,989.846,0
995.123,990.07,0
997.95,994.123,0
998.95,994.123,0
1000.88,996.132,0
1003.46,999.46,0
1004.46,999.46,0
1006.64,1001.61,0
1011.38,1008.2,0
1013.31,1010.38,0
1014.31,1010.38,0
1015.31,1010.38,0
1016.98,1011.44,0
1017.98,1011.44,0
1020.18,1012.1,0
1021.18,1012.1,0
1023.6,1015.98,0
1024.6,1015.98,0
1025.6,1015.98,0
1028.87,1026.5,0
1029.87,1026.5,0
1031.03,1027.48,0
1033.3,1027.87,0
1035.17,1029.88,0
1037.01,1031.33,0
1039.03,1034.17,0
1040.03,1034.17,0
1041.03,1034.17,0
1042.26,1035.85,0
1043.26,1035.85,0
1044.26,1035.85,0
1045.44,1036.01,0
1046.86,1037.57,0
1048.07,1041.26,0
1049.07,1041.26,0
1050.84,1044.44,0
1053.03,1049.84,0
1055.44,1051.18,0
1056.44,1051.18,0
1057.44,1051.18,0
1059.65,1057.78,0
1060.65,1057.78,0
1061.86,1058.03,0
1062.86,1058.03,0
1063.86,1058.03,0
1064.86,1058.03,0
1066.06,1058.39,0
1067.06,1058.39,0
1068.06,1058.39,0
1069.06,1058.39,0
1071.73,1065.06,0
1073.37,1070.31,0
1075.18,1071.97,0
1076.63,1071.98,0
1078.9,1074.13,0
1080.62,1074.18,0
1082.4,1077.46,0
1083.44,1077.9,0
1084.44,1077.9,0
1087.99,1085.09,0
1089.23,1085.42,0
1090.76,1085.65,0
1092.02,1086.4,0
1093.02,1086.4,0
1094.02,1086.4,0
1095.02,1086.4,0
1096.02,1086.4,0
1098.45,1091.02,0
1099.45,1091.02,0
1100.45,1091.02,0
1103.12,1097.45,0
1104.12,1097.45,0
1106.29,1101.52,0
1110.57,1108.24,0
1113.79,1109.57,0
1115.77,1110.82,0
1116.88,1111.51,0
1120.28,1117.73,0
1122.56,1118.49,0
1125.22,1122.65,0
1126.9,1124.01,0
1128.06,1124.22,0
1130.2,1125.58,0
1132.11,1125.9,0
1133.11,1125.9,0
1134.87,1128.27,0
1136.19,1129.2,0
1137.32,1131.11,0
1139.15,1133.81,0
1140.15,1133.81,0
1141.19,1133.87,0
1142.19,1133.87,0
1143.19,1133.87,0
1144.19,1133.87,0
1145.19,1133.87,0
1147.8,1138.15,0
1149.02,1140.19,0
1151.47,1146.8,0
1152.95,1148.02,0
1154.66,1149.49,0
1155.66,1149.49,0
1157.21,1150.47,0
1158.33,1151.95,0
1160.59,1156.18,0
1161.59,1156.18,0
1162.59,1156.18,0
1163.59,1156.18,0
1165.76,1157.33,0
1169.26,1164.02,0
1170.88,1166.67,0
1178.14,1174.61,0
1179.14,1174.61,0
1180.6,1175.11,0
1182.54,1175.95,0
1183.64,1176.53,0
1184.64,1176.53,0
1186.62,1177.14,0
1188.91,1182.64,0
1189.91,1182.64,0
1190.98,1185.62,0
1191.98,1185.62,0
1192.98,1185.62,0
1195.83,1194.11,0
1196.83,1194.11,0
1198.23,1194.14,0
1199.35,1194.66,0
1201.24,1198.3,0
1202.24,1198.3,0
1203.24,1198.3,0
1204.24,1198.3,0
1205.24,1198.3,0
1206.24,1198.3,0
1211.36,1208.07,0
1212.36,1208.07,0
1213.36,1208.07,0
1215.31,1209.71,0
1216.31,1209.71,0
1217.79,1210.23,0
1219.08,1210.36,0
1221.46,1220.02,0
1224.25,1220.33,0
1227.2,1224.26,0
1228.2,1224.26,0
1229.2,1224.26,0
1230.2,1224.26,0
1231.59,1224.34,0
1232.59,1224.34,0
1234.5,1225.62,0
1235.5,1225.62,0
1237.71,1233.2,0
1239.13,1235.55,0
1240.97,1236.08,0
1243.5,1238.13,0
1245.85,1244.39,0
1246.85,1244.39,0
1247.85,1244.39,0
1249.96,1244.49,0
1255.07,1252.45,0
1256.07,1252.45,0
1257.07,1252.45,0
1258.5,1253.19,0
1259.5,1253.19,0
1260.67,1253.92,0
1262.95,1259.61,0
1265.08,1261.95,0
1266.08,1261.95,0
1267.38,1262.99,0
1269.32,1263.06,0
1270.32,1263.06,0
1271.38,1264.02,0
1273.18,1266.38,0
1276.49,1274.65,0
1277.74,1275.36,0
1279.48,1275.43,0
1281.94,1276.57,0
1282.94,1276.57,0
1283.94,1276.57,0
1285.8,1276.74,0
1287.51,1278.48,0
1288.56,1280.25,0
1290.4,1280.94,0
1291.58,1284.8,0
1293.78,1289.4,0
1296.45,1292.49,0
1298.51,1294.2,0
1299.51,1294.2,0
1300.51,1294.2,0
1301.51,1294.2,0
1303.76,1295.45,0
1304.76,1295.45,0
1305.76,1295.45,0
1306.76,1295.45,0
1307.76,1295.45,0
1310.45,1302.76,0
1311.45,1302.76,0
1312.57,1308.03,0
1314.01,1308.85,0
1315.25,1309.45,0
1316.25,1309.45,0
1319.18,1314.25,0
1321.14,1316.29,0
